level,number,name,abbr,parent
3,118,Deep yellow green,d.YG,14
3,119,Light yellow green,l.YG,14
3,120,Moderate yellow green,m.YG,14
3,121,Pale yellow green,p.YG,14
3,122,Grayish yellow green,gy.YG,14
1,8,Green,G,
2,16,Yellowish green,yG,8
3,129,Vivid yellowish green,viv.yG,16
3,130,Brilliant yellowish green,brill.yG,16
3,131,Strong yellowish green,s.yG,16
3,132,Deep yellowish green,dp.yG,16
3,133,Very deep yellowish green,v.dp.yG,16
3,134,Very light yellowish green,v.l.yG,16
3,135,Light yellowish green,l.yG,16
3,136,Moderate yellowish green,m.yG,16
3,137,Dark yellowish green,d.yG,16
3,138,Very dark yellowish green,v.d.yG,16
2,17,Green,G,8
3,139,Vivid green,viv.G,17
3,140,Brilliant green,brill.G,17
3,141,Strong green,s.G,17
3,142,Deep green,dp.G,17
3,143,Very light green,v.l.G,17
3,144,Light green,l.G,17
3,145,Moderate green,m.G,17
3,146,Dark green,d.G,17
3,147,Very dark green,v.d.G,17
3,148,Very pale green,v.p.G,17
3,149,Pale green,p.G,17
3,150,Grayish green,gy.G,17
3,151,Dark grayish green,d.gy.G,17
3,152,Blackish green,bk.G,17
3,153,Greenish white,gWh,17
3,154,Light greenish gray,l.gGy,17
3,155,Greenish gray,gGy,17
3,156,Dark greenish gray,d.gGy,17
3,157,Greenish black,gBk,17
2,18,Bluish green,bG,8
3,158,Vivid bluish green,viv.bG,18
3,159,Brilliant bluish green,brill.bG,18
3,160,Strong bluish green,s.bG,18
3,161,Deep bluish green,dp.bG,18
3,162,Very light bluish green,v.l.bG,18
3,163,Light bluish green,l.bG,18
3,164,Moderate bluish green,m.bG,18
3,165,Dark bluish green,d.bG,18
3,166,Very dark bluish green,v.d.bG,18
1,9,Blue,B,
2,19,Greenish blue,gB,9
3,167,Vivid greenish blue,viv.gB,19
3,168,Brilliant greenish blue,brill.gB,19
3,169,Strong greenish blue,s.gB,19
3,170,Deep greenish blue,dp.gB,19
3,171,Very light greenish blue,v.l.gB,19
3,172,Light greenish blue,l.gB,19
3,173,Moderate greenish blue,m.gB,19
3,174,Dark greenish blue,d.gB,19
3,175,Very dark greenish blue,v.d.gB,19
2,20,Blue,B,9
3,176,Vivid blue,viv.B,20
3,177,Brilliant blue,brill.B,20
3,178,Strong blue,s.B,20
3,179,Deep blue,dp.B,20
3,180,Very light blue,v.l.B,20
3,181,Light blue,l.B,20
3,182,Moderate blue,m.B,20
3,183,Dark blue,d.B,20
3,184,Very pale blue,v.p.B,20
3,185,Pale blue,p.B,20
3,186,Grayish blue,gy.B,20
3,187,Dark grayish blue,d.gy.B,20
3,188,Blackish blue,bkB,20
3,189,Bluish white,bWh,20
3,190,Light bluish gray,l.bGy,20
3,191,Bluish gray,bGy,20
3,192,Dark bluish gray,d.bGy,20
3,193,Bluish black,bBk,20
2,21,Purplish blue,pB,9
3,194,Vivid purplish blue,viv.pB,21
3,195,Brilliant purplish blue,brill.pB,21
3,196,Strong purplish blue,s.pB,21
3,197,Deep purplish blue,dp.pB,21
3,198,Very light purplish blue,v.l.pB,21
3,199,Light purplish blue,l.pB,21
3,200,Moderate purplish blue,m.pB,21
3,201,Dark purplish blue,d.pB,21
3,202,Very pale purplish blue,v.p.pB,21
3,203,Pale purplish blue,p.pB,21
3,204,Grayish purplish blue,gy.pB,21
1,10,Purple,P,
2,22,Violet,V,10
3,205,Vivid violet,viv.V,22
3,206,Brilliant violet,brill.V,22
3,207,Strong violet,s.V,22
3,208,Deep violet,dp.V,22
3,209,Very light violet,v.l.V,22
3,210,Light violet,l.V,22
3,211,Moderate violet,m.V,22
3,212,Dark violet,d.V,22
3,213,Very pale violet,v.p.V,22
3,214,Pale violet,p.V,22
3,215,Grayish violet,gy.V,22
2,23,Purple,P,10
3,216,Vivid purple,viv.P,23
3,217,Brilliant purple,brill.P,23
3,218,Strong purple,s.P,23
